[16/12/25 12:03:23] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.511s)
[16/12/25 12:03:43] | DEBUG | EXP:None | CALL move_y(25.7)
[16/12/25 12:03:43] | DEBUG | EXP:None | CALL move_z(55)
[16/12/25 12:03:44] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.544s)
[16/12/25 12:03:44] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 25.7. Result: Move Y: 2, Success' (Duration: 1.100s)
[16/12/25 12:03:52] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 12:03:53] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.558s)
[16/12/25 12:04:15] | DEBUG | EXP:None | CALL move_x(52.15)
[16/12/25 12:04:15] | DEBUG | EXP:None | CALL move_z(55)
[16/12/25 12:04:16] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: No valid response received.' (Duration: 0.538s)
[16/12/25 12:04:16] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 52.15. Result: Move X: 2, Success' (Duration: 1.082s)
[16/12/25 12:04:18] | DEBUG | EXP:None | CALL move_y(17.1)
[16/12/25 12:04:18] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 17.1. Result: Move Y: 2, Success' (Duration: 0.560s)
[16/12/25 12:04:22] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 12:04:22] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.556s)
[16/12/25 12:05:48] | INFO | EXP:Development | === START EXPERIMENT: Development ===
[16/12/25 12:05:57] | DEBUG | EXP:None | CALL go_to_vial('rack1', 1)
[16/12/25 12:05:57] | DEBUG | EXP:None | CALL move_xy(np.float64(35.6), np.float64(8.1), module_name='rack1')
[16/12/25 12:05:58] | DEBUG | EXP:None | RETURN move_xy -> 'Moved to X=35.6, Y=8.1. Result: Move XY: 2, Success' (Duration: 0.543s)
[16/12/25 12:05:58] | DEBUG | EXP:None | RETURN go_to_vial -> (np.float64(35.6), np.float64(8.1)) (Duration: 0.544s)
[16/12/25 12:07:06] | DEBUG | EXP:None | CALL move_z(50, allow_in_vial=True)
[16/12/25 12:07:07] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 50. Result: Move Z: 2, Success' (Duration: 0.514s)
[16/12/25 12:07:10] | DEBUG | EXP:None | CALL go_to_vial('rack1', 17)
[16/12/25 12:07:10] | DEBUG | EXP:None | CALL move_xy(np.float64(52.150000000000006), np.float64(16.9), module_name='rack1')
[16/12/25 12:07:10] | DEBUG | EXP:None | RETURN move_xy -> 'Moved to X=52.150000000000006, Y=16.9. Result: Move XY: 2, Success' (Duration: 0.522s)
[16/12/25 12:07:10] | DEBUG | EXP:None | RETURN go_to_vial -> (np.float64(52.150000000000006), np.float64(16.9)) (Duration: 0.524s)
[16/12/25 12:08:54] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
